election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_녹색당,party_한국국민당,party_대한애국당,party_민중당,party_한반도미래연합,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_녹색당,ratio_한국국민당,ratio_대한애국당,ratio_민중당,ratio_한반도미래연합,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
7회지방선거_기초단체장,강원도,강릉시,20180613,4,179767,108764,106557,2207,38990.0,0.0,0.0,0.0,0.0,0.0,45841.0,10971.0,강릉시,강릉시,0.4069852403916411,0.0,0.0,0.0,0.0,0.0,0.4784973173837707,0.11451744222458822,2017,32030,강릉시,215914,108572,107342,16650,23479,29629,23401,33518,36281,27096,18615,7785,1229,24035,152904,38975,0.1372259325472178,0.1083811147030762,0.1552377335420584,0.1680344952156877,0.1254944098113137,0.1279629852626508,0.1805116852079994,0.7081708457997166,0.4971516437099956,2017
7회지방선거_기초단체장,강원도,고성군,20180613,4,25496,18353,17896,457,8753.0,0.0,0.0,0.0,0.0,0.0,7205.0,1938.0,고성군,고성군,0.48910371032632993,0.0,0.0,0.0,0.0,0.0,0.40260393383996423,0.10829235583370586,2017,32600,고성군,28621,15422,13199,1547,2342,5140,2395,3272,4760,4122,3498,1431,269,2199,19516,6906,0.1795884141015338,0.0836798155200726,0.1143216519338947,0.1663114496348834,0.144020125082981,0.1816148981517067,0.2412913594912826,0.6818769435030223,0.4611648789350477,2017
7회지방선거_기초단체장,강원도,동해시,20180613,4,75747,46921,45799,1122,14771.0,0.0,0.0,0.0,0.0,0.0,11463.0,19565.0,동해시,동해시,0.3225179589073997,0.0,0.0,0.0,0.0,0.0,0.25028930762680407,0.42719273346579617,2017,32040,동해시,89151,45347,43804,8514,9156,8704,10841,15266,15392,11409,7448,2940,362,12003,61710,15438,0.0976321073235297,0.1216026741147042,0.1712375632354096,0.172650895671389,0.1279738870007066,0.1205819340220524,0.1731668741797624,0.6921963859070566,0.4913461430606499,2017
7회지방선거_기초단체장,강원도,삼척시,20180613,4,59117,41033,39936,1097,24683.0,0.0,0.0,0.0,0.0,0.0,13211.0,653.0,삼척시,삼척시,0.6403351752406153,0.0,0.0,0.0,0.0,0.0,0.34272446623602354,0.016940358523361093,2017,32070,삼척시,67860,35066,32794,4811,6569,9511,6707,9462,11475,9326,6851,3236,388,6728,46603,14529,0.1401562039493074,0.0988358384910109,0.1394341290893015,0.1690981432360742,0.1374300029472443,0.1543619216033009,0.2141025641025641,0.6867521367521368,0.4832596522251695,2017
7회지방선거_기초단체장,강원도,속초시,20180613,4,68234,40492,39748,744,17617.0,0.0,0.0,0.0,0.0,0.0,16952.0,5179.0,속초시,속초시,0.4432172687933984,0.0,0.0,0.0,0.0,0.0,0.4264868672637617,0.1302958639428399,2017,32060,속초시,78618,38962,39656,6875,7890,7663,9502,13395,14774,9840,6335,2609,419,9861,55588,13169,0.0974713170011956,0.1208629067134752,0.1703808288178279,0.1879213411686891,0.1251621766007784,0.1190948637716553,0.1675061690706962,0.7070645399272432,0.5044137474878526,2017
7회지방선거_기초단체장,강원도,양구군,20180613,4,19596,14389,13934,455,6770.0,0.0,0.0,0.0,0.0,0.0,6158.0,1006.0,양구군,양구군,0.48586192048227356,0.0,0.0,0.0,0.0,0.0,0.4419405770058849,0.07219750251184154,2017,32580,양구군,22355,11971,10384,2133,2162,3409,2720,2789,3636,2557,2100,889,139,2860,15414,4081,0.1524938492507269,0.1216730038022813,0.1247595616193245,0.162648177141579,0.1143815701185417,0.1399239543726236,0.1825542384254082,0.6895101766942519,0.4645045851040035,2017
7회지방선거_기초단체장,강원도,양양군,20180613,4,24088,17863,17389,474,6379.0,0.0,0.0,0.0,0.0,0.0,8295.0,1900.0,양양군,양양군,0.384879932424279,0.0,0.0,0.0,0.0,0.0,0.5004826837214915,0.11463738385422952,2017,32610,양양군,25556,12939,12617,1576,1823,2090,2394,3468,4806,4322,3593,1391,266,2264,16203,7089,0.0817811864141493,0.0936766317107528,0.1357019877915166,0.1880575989982782,0.1691187979339489,0.2054312098920018,0.2773908279856003,0.6340194083581155,0.4937001095633119,2017
7회지방선거_기초단체장,강원도,영월군,20180613,4,35214,23984,23442,542,10035.0,0.0,0.0,0.0,0.0,0.0,11349.0,2058.0,영월군,영월군,0.42807780906066034,0.0,0.0,0.0,0.0,0.0,0.48413104683900693,0.08779114410033273,2017,32530,영월군,36934,19006,17928,2159,3081,3124,3084,5078,7224,6346,4837,1974,249,3211,23904,9819,0.0845833107705637,0.083500297828559,0.1374884929874912,0.195592137326041,0.1718200032490388,0.1911517842638219,0.2658526019385931,0.647208534141983,0.4854064006064872,2017
7회지방선거_기초단체장,강원도,원주시,20180613,4,278991,159232,156603,2629,92686.0,0.0,0.0,0.0,0.0,0.0,52506.0,11411.0,원주시,원주시,0.5918532850583961,0.0,0.0,0.0,0.0,0.0,0.3352809333154537,0.0728657816261502,2017,32020,원주시,341338,170450,170888,33238,39472,46585,45510,57887,57114,33211,21158,9458,1235,46678,250009,44651,0.1364776262824531,0.1333282552777598,0.169588501719703,0.1673238842437701,0.0972965213366223,0.0933122008097545,0.1308116881214514,0.7324382283835963,0.5006415927907235,2017
7회지방선거_기초단체장,강원도,인제군,20180613,4,27243,19634,19068,566,10438.0,0.0,0.0,0.0,0.0,0.0,7949.0,681.0,인제군,인제군,0.5474092720788756,0.0,0.0,0.0,0.0,0.0,0.41687644220683867,0.03571428571428571,2017,32590,인제군,30524,16456,14068,3098,2265,3863,4176,4046,5308,3842,2835,1152,181,4075,20815,5634,0.1265561525357096,0.1368103787183855,0.1325514349364434,0.1738959507272965,0.1258681693093958,0.136548289870266,0.1845760712881667,0.6819224217009566,0.4608832394181628,2017
