election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기본소득당,party_노동당,party_신자유민주연합,party_우리공화당,party_통일한국당,party_한류연합당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기본소득당,ratio_노동당,ratio_신자유민주연합,ratio_우리공화당,ratio_통일한국당,ratio_한류연합당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
20대대통령선거,강원도,강릉시,20220309,1,185823,141724,140420,1304,54377,80513,80,41.0,41,121,55,74,5118,강릉시,대한민국,0.38724540663723117,0.5733727389260789,0.0005697194131890044,0.0002919811992593648,0.0002919811992593648,0.0008617006124483692,0.00039168209656744054,0.0005269904571998291,0.036447799458766555,2022,32030,강릉시,215128,107563,107565,13793,18792,28759,21081,30545,35509,35562,20066,10951,1719,20578,145962,48588,0.1336832025584768,0.0979928228775426,0.1419852366962924,0.165059871332416,0.1653062362872336,0.1521698709605444,0.2258562344278755,0.6784890855676621,0.500004648395374,2022
20대대통령선거,강원도,고성군,20220309,1,24668,19218,19000,218,7433,10842,8,5.0,3,10,18,18,663,고성군,대한민국,0.39121052631578945,0.5706315789473684,0.0004210526315789474,0.0002631578947368421,0.00015789473684210527,0.0005263157894736842,0.0009473684210526315,0.0009473684210526315,0.03489473684210526,2022,32600,고성군,27127,14275,12852,1446,1501,3307,2531,3008,4407,5512,3279,2005,287,2037,17001,8089,0.1219080620783721,0.0933018763593467,0.1108858333026136,0.1624580676079183,0.203192391344417,0.2053673461864563,0.2981899952077266,0.6267187672798319,0.4737715191506617,2022
20대대통령선거,강원도,동해시,20220309,1,77147,57515,56967,548,22896,31747,24,14.0,14,57,23,21,2171,동해시,대한민국,0.4019168992574648,0.5572875524426423,0.0004212965401021644,0.0002457563150595959,0.0002457563150595959,0.0010005792827426404,0.0004037425175979076,0.00036863447258939384,0.038109782856741624,2022,32040,동해시,86772,44153,42619,6735,7707,7787,8540,13808,15278,14790,8147,4273,576,10020,57089,19663,0.0897409302539989,0.0984188447886414,0.1591296731664592,0.176070621859586,0.1704466878716636,0.149771815793113,0.2266053565666343,0.6579196054026645,0.4911607430968515,2022
20대대통령선거,강원도,삼척시,20220309,1,56233,43642,43212,430,16297,25317,25,25.0,22,32,48,34,1412,삼척시,대한민국,0.3771406090900676,0.5858789225215218,0.0005785429973155605,0.0005785429973155605,0.0005091178376376933,0.0007405350365639174,0.0011108025548458762,0.0007868184763491623,0.03267610848838286,2022,32070,삼척시,64289,33295,30994,3826,5312,8386,5264,8147,10412,11696,6948,4101,643,5597,41776,16916,0.1304422218419947,0.0818802594534057,0.1267246340742584,0.1619561666848138,0.1819284792110625,0.1818662601689247,0.2631243292009519,0.6498156760876667,0.482104248005102,2022
20대대통령선거,강원도,속초시,20220309,1,71571,52516,52059,457,21713,28348,16,17.0,13,23,17,18,1894,속초시,대한민국,0.4170844618605813,0.5445360072225743,0.0003073435909256805,0.0003265525653585355,0.0002497166676271154,0.0004418064119556657,0.0003265525653585355,0.00034576153979139055,0.03638179757582743,2022,32060,속초시,80903,40449,40454,6113,6392,7848,9279,11948,14870,14044,6944,3587,593,8850,54736,17317,0.0970050554367576,0.1146929038478177,0.1476830278234429,0.1838003535097586,0.173590596146002,0.1374979914218261,0.2140464506878607,0.6765632918433185,0.5000309012026748,2022
20대대통령선거,강원도,양구군,20220309,1,18565,14529,14314,215,5689,7886,13,4.0,2,14,16,20,670,양구군,대한민국,0.39744306273578317,0.5509291602626799,0.0009082017605141819,0.0002794466955428252,0.0001397233477714126,0.0009780634343998882,0.0011177867821713008,0.001397233477714126,0.04680732150342322,2022,32580,양구군,20824,10970,9854,1721,1800,2345,2572,2448,3172,3662,1855,1270,160,2360,13606,4858,0.1126104494813676,0.1235113330772186,0.1175566653860929,0.1523242412600845,0.1758547829427583,0.1577506723011909,0.2332885132539377,0.6533807145601229,0.4732039953899347,2022
20대대통령선거,강원도,양양군,20220309,1,25257,19716,19554,162,7343,11503,4,3.0,2,13,14,6,666,양양군,대한민국,0.3755241894241587,0.5882683849851693,0.00020456172650097168,0.00015342129487572875,0.00010228086325048584,0.0006648256111281579,0.0007159660427534008,0.0003068425897514575,0.03405952746241178,2022,32610,양양군,26566,13501,13065,1312,1528,1944,2167,3285,4668,5833,3618,2058,305,1953,15934,8679,0.0731762403071595,0.0815704283670857,0.1236542949634871,0.1757133177745991,0.219566363020402,0.2251373936610705,0.3266957765565008,0.5997892042460288,0.4917940224346909,2022
20대대통령선거,강원도,영월군,20220309,1,34306,26925,26673,252,10758,14906,13,14.0,13,39,27,15,888,영월군,대한민국,0.4033292093127882,0.5588422749596971,0.0004873842462415176,0.0005248753421062497,0.0004873842462415176,0.0014621527387245529,0.0010122595883477674,0.0005623664379709819,0.03329209312788213,2022,32530,영월군,35654,18364,17290,1694,2410,2504,2501,4073,6543,8217,4717,2858,348,2571,21460,11623,0.0702305491669938,0.0701464071352443,0.1142368317720311,0.183513771245863,0.230465024962136,0.2222191058506759,0.325994278341841,0.6018960004487575,0.4849385763168228,2022
20대대통령선거,강원도,원주시,20220309,1,302881,226239,224205,2034,100954,113598,143,58.0,63,228,83,111,8967,원주시,대한민국,0.4502754175865837,0.5066702348297317,0.000637809147878058,0.0002586918222162753,0.0002809928413728507,0.0010169264735398408,0.00037019691799915254,0.0004950826252759751,0.03999464775540242,2022,32020,원주시,361810,180022,181788,29855,35354,47204,45656,56032,60870,51331,23104,13832,2076,43676,258000,60134,0.1304662668251292,0.1261877781155855,0.1548658135485476,0.1682374727066692,0.1418728061689837,0.1078245487963295,0.1662032558525192,0.7130814515906139,0.5024405074486609,2022
20대대통령선거,강원도,인제군,20220309,1,27897,21836,21487,349,8937,11595,20,4.0,8,14,14,25,870,인제군,대한민국,0.4159259086889747,0.539628612649509,0.0009307953646390841,0.0001861590729278168,0.0003723181458556336,0.0006515567552473589,0.0006515567552473589,0.0011634942057988551,0.04048959836180016,2022,32590,인제군,30905,16830,14075,2641,2022,3611,4085,3909,4795,5639,2644,1584,242,3514,20459,6932,0.1168419349619802,0.1321792590195761,0.1264843876395405,0.1551528878822197,0.1824623847273904,0.1446367901634039,0.2243002750364018,0.6619964407053874,0.4554279242840964,2022
