election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_가락특권폐지당,party_대한국민당,party_민중민주당,party_한국국민당,party_녹색정의당,party_기후민생당,party_내일로미래로,party_자유통일당,party_새진보연합,party_우리공화당,party_자유민주당,party_소나무당,party_기독당,party_노동당,party_한국농어민당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_가락특권폐지당,ratio_대한국민당,ratio_민중민주당,ratio_한국국민당,ratio_녹색정의당,ratio_기후민생당,ratio_내일로미래로,ratio_자유통일당,ratio_새진보연합,ratio_우리공화당,ratio_자유민주당,ratio_소나무당,ratio_기독당,ratio_노동당,ratio_한국농어민당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
22대국회의원선거_지역구,경기도,가평군,20240410,2,56055,37243,36781,462,15280.0,20982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0,가평군,포천시가평군,0.4154318805905223,0.5704575732035562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014110546205921535,2024,31570,가평군,60384,30865,29519,2916,4066,5158,5571,6913,10503,13499,7539,3964,564,4468,37174,18742,0.0854199788023317,0.0922595389507154,0.114483969263381,0.1739368044515103,0.2235525967143614,0.1998377053524112,0.3103802331743508,0.6156266560678325,0.4888546634870164,2024
22대국회의원선거_지역구,경기도,고양시덕양구,40480820,4,458715,315596,312683,2913,167019.0,113683,0.0,0.0,0.0,0.0,28293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3688.0,고양시덕양구,고양시갑,0.5341480029294845,0.36357269183166335,0.0,0.0,0.0,0.0,0.09048461221108918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011794693027762941,2024,31101,고양시 덕양구,482446,236705,245741,37304,38989,52582,71842,75249,84204,70895,33638,18812,2911,53592,342252,86602,0.1089904362353507,0.148912002586818,0.1559739328339337,0.1745355956936113,0.1469490886026622,0.1147506663958246,0.179506100164578,0.7094099650530836,0.5093647786488021,2024
22대국회의원선거_지역구,경기도,고양시일산동구,20240410,2,236926,159334,157466,1868,85134.0,72332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,고양시일산동구,고양시병,0.5406500450890986,0.4593499549109014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,31103,고양시 일산동구,288578,139911,148667,18907,25140,34385,38816,43587,55408,42856,17671,11631,2411,29138,209519,49921,0.1191532272037369,0.1345078280395595,0.1510406198670723,0.1920035484340455,0.1485075092349382,0.1098940321161003,0.1729896249887378,0.7260394070234044,0.5151709416518238,2024
22대국회의원선거_지역구,경기도,고양시일산서구,20240410,2,227947,157917,156047,1870,85660.0,70387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,고양시일산서구,고양시정,0.5489371791831948,0.4510628208168052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,31104,고양시 일산서구,273944,132397,141547,17939,27284,31359,32241,41297,55256,41168,17109,10889,1683,29091,197763,47090,0.1144723009082148,0.1176919370382268,0.1507497882778962,0.2017054580498204,0.1502788891160237,0.1083469614227725,0.1718964459889612,0.7219103174371404,0.5167004935315247,2024
22대국회의원선거_지역구,경기도,과천시,20240410,2,67624,52845,52306,539,25322.0,26984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,과천시,의왕시과천시,0.48411272129392424,0.5158872787060758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,31110,과천시,81213,39761,41452,9455,7639,8245,12645,12704,12966,10977,4732,2326,407,12758,56198,12257,0.1015231551598881,0.1557016733774149,0.1564281580535136,0.1596542425473754,0.1351630896531343,0.091918781475872,0.1509241131345966,0.6919828106337655,0.5104108948074816,2024
22대국회의원선거_지역구,경기도,광명시,40480820,4,238768,171690,169298,2392,100171.0,69127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,광명시,광명시갑,0.5916844853453673,0.40831551465463267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,31060,광명시,272371,133393,138978,19493,26298,29901,36168,44012,48129,40831,19988,8633,1269,30080,193396,48895,0.10978040980868,0.1327894673074593,0.1615884216748479,0.1767038341086239,0.149909498441464,0.1097400237176498,0.1795161746294576,0.7100462237169155,0.5102525599274519,2024
22대국회의원선거_지역구,경기도,광주시,40480820,4,333796,211569,209284,2285,116566.0,92718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,광주시,광주시갑,0.5569752107184496,0.4430247892815504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,31250,광주시,402335,207712,194623,32662,35022,42841,56837,68890,69080,59246,27901,11772,1766,47237,286641,68457,0.1064809176432574,0.1412678489318602,0.1712254713112207,0.1716977145910746,0.1472553966222178,0.1029962593361253,0.1701492537313433,0.712443610424149,0.4837337044999814,2024
22대국회의원선거_지역구,경기도,구리시,20240410,2,161475,111029,109918,1111,59331.0,47620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2967.0,구리시,구리시,0.5397751050783312,0.43323204570679963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026992849214869268,2024,31120,구리시,182102,89902,92200,12416,15683,21038,24033,28322,33473,28583,13071,6201,817,18869,130692,32541,0.1155286597621113,0.1319754862659388,0.1555282204478808,0.1838145654633117,0.1569614831248421,0.1103172947029686,0.1786965546781474,0.7176856926337987,0.5063096506353582,2024
22대국회의원선거_지역구,경기도,군포시,20240410,2,226042,159244,157333,1911,89561.0,67772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,군포시,군포시,0.5692448500950213,0.4307551499049786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,31160,군포시,258110,127967,130143,15822,22216,30679,35739,37803,47492,41611,17713,9202,1788,24647,186457,47006,0.1188601758939986,0.1384642206811049,0.1464608112820115,0.1839990701638836,0.161214210995312,0.111204525202433,0.182116152028205,0.7223935531362597,0.5042152570609431,2024
22대국회의원선거_지역구,경기도,김포시,40480820,4,395817,265481,262950,2531,144392.0,118558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,김포시,김포시갑,0.5491234074919186,0.4508765925080814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,31230,김포시,499536,257239,242297,48265,52072,51098,74769,95187,75553,60609,31598,14165,2149,71785,352017,75734,0.1022909259793088,0.1496769001633515,0.1905508311713269,0.1512463566189423,0.1213305947919669,0.0959130072707472,0.1516086928669805,0.7046879504179879,0.4850441209442362,2024
