election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
21대대통령선거,강원도,강릉시,20250603,1,183191,139882,138910,972,57546,69408,11956,강릉시,대한민국,0.4142682312288532,0.4996616514289828,0.086070117342164,2024,32030,강릉시,212352,106007,106345,12187,17403,26288,21006,28381,36038,37114,21478,11900,1950,18735,140310,53307,0.123794454490657,0.0989206600361663,0.133650730861965,0.1697087854128993,0.1747758438818565,0.1663652802893309,0.2510313065099457,0.660742540687161,0.5007958484026522,2024
21대대통령선거,강원도,고성군,20250603,1,24393,19289,19127,162,7890,9835,1402,고성군,대한민국,0.41250588173785746,0.5141945940293825,0.07329952423275997,2024,32600,고성군,27774,14670,13104,1349,1557,3357,2760,2873,4446,5669,3469,2148,299,1946,17120,8708,0.1208684381075826,0.0993735147980125,0.1034420681212645,0.1600777705767984,0.2041117591992511,0.2130049686757399,0.3135306401670627,0.6164038309210053,0.4718081659105638,2024
21대대통령선거,강원도,동해시,20250603,1,75688,57784,57382,402,24197,28536,4649,동해시,대한민국,0.4216827576591963,0.4972988045031543,0.08101843783764943,2024,32040,동해시,85673,43555,42118,5782,7469,7160,8367,12551,15756,15133,8761,4748,651,9034,55147,21492,0.0835735879448601,0.0976620405495313,0.1464988969687066,0.1839085826339687,0.1766367466996603,0.1652796096786619,0.2508608313004097,0.6436917115077095,0.4916134604834662,2024
21대대통령선거,강원도,삼척시,20250603,1,55205,43735,43394,341,16959,23059,3376,삼척시,대한민국,0.39081439830391296,0.5313868276720284,0.07779877402405863,2024,32070,삼척시,62953,32798,30155,3329,4812,7763,5208,7438,10498,11983,7257,4293,724,5016,39827,18110,0.1233142185439931,0.0827283846679268,0.1181516369354915,0.1667593283878449,0.1903483551220752,0.194970851269995,0.2876749320921957,0.6326465776055152,0.4790081489365081,2024
21대대통령선거,강원도,속초시,20250603,1,70334,52747,52418,329,23389,24910,4119,속초시,대한민국,0.4462016864435881,0.47521843641497197,0.07857987714143996,2024,32060,속초시,79758,39710,40048,5323,6104,7136,9159,11142,14548,14852,7659,3833,621,8061,52573,19124,0.0894706487123548,0.1148348754983826,0.1396975851952155,0.1824017653401539,0.1862132952180345,0.1518719125354196,0.2397753203440407,0.6591564482559743,0.5021189097018481,2024
21대대통령선거,강원도,양구군,20250603,1,17713,13999,13865,134,5706,6778,1381,양구군,대한민국,0.41153984853948794,0.488856833754057,0.0996033177064551,2024,32580,양구군,20443,10847,9596,1472,1695,1990,2567,2438,3042,3905,1956,1321,197,2134,13025,5284,0.0973438340752335,0.1255686543070978,0.1192584258670449,0.148803991586362,0.1910189306853201,0.1699359193856087,0.2584747835444895,0.6371374064471946,0.4694027295406741,2024
21대대통령선거,강원도,양양군,20250603,1,24980,19670,19534,136,8061,10304,1169,양양군,대한민국,0.41266509675437696,0.5274905293334698,0.05984437391215317,2024,32610,양양군,26687,13643,13044,1188,1488,1840,2175,3135,4627,5973,3780,2281,328,1822,15485,9380,0.0689474275864653,0.0815003559785663,0.1174729268932439,0.1733802975231386,0.2238168396597594,0.2394049537227863,0.3514819949788286,0.5802450631393562,0.4887773073031813,2024
21대대통령선거,강원도,영월군,20250603,1,33250,26302,26108,194,11089,13400,1619,영월군,대한민국,0.42473571319135894,0.5132526428680864,0.06201164394055462,2024,32530,영월군,35449,18357,17092,1492,2340,2268,2417,3763,6430,8592,4990,2940,420,2357,20482,12610,0.0639792377782166,0.0681824593077378,0.1061525007757623,0.1813873452001466,0.2423763716889052,0.2355496628959914,0.3557223052836469,0.5777878078366103,0.4821574656548845,2024
21대대통령선거,강원도,원주시,20250603,1,309973,238713,237026,1687,113158,100988,22880,원주시,대한민국,0.4774075417886645,0.4260629635567406,0.09652949465459486,2024,32020,원주시,365720,181358,184362,27501,35095,44684,46764,54053,62310,55817,25461,14673,2416,41312,256367,68041,0.122180903423384,0.127868314557585,0.1477988625177731,0.1703762441211856,0.1526222246527398,0.1163458383462758,0.186046702395275,0.7009925626162091,0.5041069670786394,2024
21대대통령선거,강원도,인제군,20250603,1,27383,21666,21429,237,9136,10099,2194,인제군,대한민국,0.4263381399038686,0.4712772411218442,0.10238461897428718,2024,32590,인제군,31167,17225,13942,2339,1926,3504,4283,3941,4589,6026,2809,1701,247,3226,20321,7620,0.1124266050630474,0.1374209901498379,0.1264478454775884,0.1472390669618506,0.1933455257163025,0.1526293836429557,0.2444893637501203,0.6520037218853274,0.4473321140950364,2024
21대대통령선거,강원도,정선군,20250603,1,30577,24019,23839,180,10241,12195,1403,정선군,대한민국,0.4295901673727925,0.5115566928142959,0.05885313981291162,2024,32550,정선군,32503,16848,15655,1343,1970,1878,2436,3885,6016,7852,4481,2476,315,2195,19142,11166,0.0577792819124388,0.0749469279758791,0.1195274282373934,0.1850906070208904,0.241577700519952,0.2237331938590284,0.3435375196135741,0.5889302525920684,0.4816478478909639,2024
21대대통령선거,강원도,철원군,20250603,1,35356,27047,26794,253,11189,13232,2373,철원군,대한민국,0.4175934910800926,0.49384190490408303,0.08856460401582444,2024,32560,철원군,40069,20866,19203,2718,2897,4052,4667,4697,6406,7470,4413,2704,327,3887,25181,11001,0.1011255584117397,0.1164740822081908,0.1172227906860665,0.1598742169757168,0.1864284109910404,0.1857795303102148,0.2745513988370062,0.6284409393795702,0.4792482966882128,2024
21대대통령선거,강원도,춘천시,20250603,1,247155,194624,193253,1371,89204,83911,20138,춘천시,대한민국,0.46159179935110967,0.43420283255628633,0.104205368092604,2024,32010,춘천시,291783,143692,148091,20266,27758,41679,35170,39122,45996,44825,22824,14228,2263,30660,200580,60543,0.1428424548380132,0.1205347809844987,0.1340790930246107,0.1576376965073359,0.1536244400804707,0.1347405434860838,0.2074932398391955,0.6874286713071015,0.5075381362176686,2024
21대대통령선거,강원도,태백시,20250603,1,33422,25989,25813,176,10894,13277,1642,태백시,대한민국,0.4220354085150893,0.51435323286716,0.06361135861775075,2024,32050,태백시,37590,19009,18581,1951,3027,2389,2885,5327,6837,7660,5008,2500,270,3239,22695,11656,0.0635541367384942,0.0767491354083532,0.1417132216014897,0.1818834796488427,0.2037776004256451,0.2069167331737164,0.3100824687416866,0.6037509976057462,0.4943069965416334,2024
21대대통령선거,강원도,평창군,20250603,1,36753,28718,28510,208,11594,14937,1979,평창군,대한민국,0.4066643283058576,0.5239214310768151,0.06941424061732725,2024,32540,평창군,39016,20253,18763,1482,2267,2676,2941,4283,7215,9725,5339,2885,374,2405,23169,13442,0.0685872462579454,0.0753793315562846,0.1097754767274964,0.184924133688743,0.2492567151937666,0.2203711297929054,0.344525322944433,0.5938332991593193,0.4809052696329711,2024
