sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_국민의당,party_바른정당,party_정의당,party_새누리당,party_경제애국당,party_국민대통합당,party_늘푸른한국당,party_민중연합당,party_한국국민당,party_홍익당,party_무소속
20170509,1,19대대통령선거,서울특별시,종로구,대한민국,133769,102566,102202,364,42512,22325,22313,7412,7113,228,5,78,31,63,26,47,49
20170509,1,19대대통령선거,서울특별시,중구,대한민국,109836,82852,82595,257,34062,17901,19372,5874,4993,158,12,53,21,55,18,25,51
20170509,1,19대대통령선거,서울특별시,용산구,대한민국,197962,148157,147660,497,58081,35230,32109,11825,9773,299,17,68,23,72,32,51,80
20170509,1,19대대통령선거,서울특별시,성동구,대한민국,259009,203175,202512,663,86686,40566,45674,15859,12936,304,16,94,46,108,41,58,124
20170509,1,19대대통령선거,서울특별시,광진구,대한민국,305172,240030,239231,799,105512,46368,52824,17114,16540,312,24,120,48,127,48,65,129
20170509,1,19대대통령선거,서울특별시,동대문구,대한민국,304972,236092,235265,827,98958,51631,53359,15129,15107,360,41,150,44,160,80,84,162
20170509,1,19대대통령선거,서울특별시,중랑구,대한민국,351986,265706,264744,962,111450,56545,62778,15996,16817,373,34,155,74,152,65,90,215
20170509,1,19대대통령선거,서울특별시,성북구,대한민국,378024,295866,294922,944,129263,57584,66518,19830,20519,407,34,190,55,172,65,107,178
20170509,1,19대대통령선거,서울특별시,강북구,대한민국,281434,210614,209902,712,89645,42268,51669,11871,13482,324,34,145,45,123,53,93,150
20170509,1,19대대통령선거,서울특별시,도봉구,대한민국,293679,229233,228382,851,94898,47461,55600,14500,14923,352,30,162,43,152,38,79,144
20170509,1,19대대통령선거,서울특별시,노원구,대한민국,464422,374213,372907,1306,158167,67590,96325,24846,24498,548,37,168,85,210,81,120,232
20170509,1,19대대통령선거,서울특별시,은평구,대한민국,413086,317275,316115,1160,140180,60109,72582,19447,21955,432,49,188,656,160,61,115,181
20170509,1,19대대통령선거,서울특별시,서대문구,대한민국,268987,212076,211359,717,93768,40513,46237,14798,15165,336,25,110,72,119,27,64,125
20170509,1,19대대통령선거,서울특별시,마포구,대한민국,320483,256992,256233,759,117336,46547,52545,19059,19795,381,26,134,38,108,47,86,131
