sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_바른미래당,party_민주평화당,party_정의당,party_민중당,party_대한애국당,party_국제녹색당,party_녹색당,party_우리미래,party_친박연대,party_노동당,party_새누리당
20180613,8,7회지방선거_광역의원비례,서울특별시,종로구,서울특별시,134963,81162,80080,1082,38936,20237,9510,735.0,8702,267.0,320.0,55.0,1055.0,147.0,116.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,중구,서울특별시,112336,66457,65365,1092,32514,17407,6245,2556.0,5511,185.0,239.0,44.0,453.0,117.0,94.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,용산구,서울특별시,200009,116028,114475,1553,52344,33739,13903,862.0,11452,313.0,357.0,67.0,1133.0,168.0,137.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,성동구,서울특별시,264634,157821,155707,2114,82212,38047,17219,1485.0,14307,460.0,449.0,89.0,1036.0,250.0,153.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,광진구,서울특별시,308174,180322,178100,2222,95932,41557,18914,1775.0,16943,501.0,534.0,106.0,1292.0,322.0,224.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,동대문구,서울특별시,302939,178037,175674,2363,91561,44774,18720,1832.0,15780,684.0,592.0,82.0,1175.0,249.0,225.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,중랑구,서울특별시,352041,198824,196214,2610,108137,49904,18154,1770.0,14974,875.0,677.0,105.0,1024.0,324.0,270.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,성북구,서울특별시,373174,222076,219294,2782,114965,50075,24927,2056.0,23160,671.0,702.0,114.0,1996.0,350.0,278.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,강북구,서울특별시,280860,156263,153851,2412,83970,36007,15882,1504.0,13595,564.0,645.0,83.0,1043.0,318.0,240.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,도봉구,서울특별시,292696,173661,171314,2347,89694,42991,17689,1475.0,16229,638.0,575.0,71.0,980.0,762.0,210.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,노원구,서울특별시,456370,282889,278979,3910,144710,59167,36639,2445.0,30698,1816.0,854.0,131.0,1757.0,421.0,341.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,은평구,서울특별시,413112,238092,235053,3039,126714,51969,25282,1872.0,24571,723.0,679.0,134.0,2445.0,364.0,300.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,서대문구,서울특별시,269182,163919,161591,2328,83754,36926,18303,1338.0,17667,720.0,476.0,111.0,1836.0,261.0,199.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,마포구,서울특별시,320091,197173,194952,2221,97782,42848,22178,1596.0,25839,622.0,621.0,124.0,2824.0,307.0,211.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,양천구,서울특별시,383104,238491,235720,2771,119859,57234,28427,1850.0,24765,693.0,702.0,112.0,1425.0,360.0,293.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,강서구,서울특별시,509021,303545,299983,3562,162748,69377,30224,2242.0,30390,1158.0,889.0,149.0,1964.0,464.0,378.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,구로구,서울특별시,351457,211125,208569,2556,109053,52168,21611,1899.0,20319,1042.0,592.0,88.0,1206.0,333.0,258.0,0.0,0.0
20180613,8,7회지방선거_광역의원비례,서울특별시,금천구,서울특별시,206762,116910,115211,1699,64258,26964,11727,1116.0,9128,539.0,404.0,56.0,655.0,209.0,155.0,0.0,0.0
