sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_바른미래당,party_정의당,party_민중당,party_대한애국당,party_녹색당,party_우리미래,party_친박연대,party_무소속,party_코리아,party_민주평화당
20180613,3,7회지방선거_시도지사,서울특별시,종로구,서울특별시,134963,81195,80091,1104,41148,18777.0,15946.0,1469.0,358.0,223.0,1896.0,215.0,59.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,중구,서울특별시,112336,66474,65491,983,34243,15618.0,12814.0,1023.0,279.0,193.0,1076.0,149.0,96.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,용산구,서울특별시,200009,116054,114662,1392,53964,31073.0,24074.0,2151.0,436.0,231.0,2392.0,226.0,115.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,성동구,서울특별시,264634,157863,155866,1997,84106,34878.0,30379.0,2594.0,689.0,309.0,2418.0,370.0,123.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,광진구,서울특별시,308174,180373,178368,2005,99366,38606.0,32310.0,3077.0,804.0,376.0,3222.0,482.0,125.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,동대문구,서울특별시,302939,178077,175723,2354,93913,40984.0,33437.0,2731.0,827.0,434.0,2848.0,404.0,145.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,중랑구,서울특별시,352041,198943,196210,2733,109318,45905.0,33672.0,2662.0,959.0,519.0,2561.0,429.0,185.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,성북구,서울특별시,373174,222184,219501,2683,119898,47274.0,42105.0,3750.0,918.0,523.0,4349.0,497.0,187.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,강북구,서울특별시,280860,156279,153981,2298,85839,33537.0,28138.0,2396.0,718.0,481.0,2276.0,431.0,165.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,도봉구,서울특별시,292696,173751,171609,2142,92172,39099.0,33308.0,2767.0,810.0,445.0,2430.0,434.0,144.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,노원구,서울특별시,456370,283039,279578,3461,150657,54461.0,62193.0,4866.0,1448.0,609.0,4364.0,732.0,248.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,은평구,서울특별시,413112,238193,235371,2822,131287,49071.0,44033.0,4167.0,1121.0,533.0,4421.0,522.0,216.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,서대문구,서울특별시,269182,163969,161842,2127,87486,34514.0,31494.0,2842.0,879.0,333.0,3780.0,394.0,120.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,마포구,서울특별시,320091,197264,195261,2003,105956,40249.0,37233.0,4369.0,927.0,386.0,5475.0,496.0,170.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,양천구,서울특별시,383104,238559,236091,2468,125557,53780.0,47056.0,4052.0,979.0,507.0,3455.0,525.0,180.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,강서구,서울특별시,509021,303651,300409,3242,168733,64676.0,54090.0,5356.0,1522.0,690.0,4387.0,696.0,259.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,구로구,서울특별시,351457,211169,208763,2406,113799,48981.0,37784.0,3363.0,1006.0,436.0,2709.0,494.0,191.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,금천구,서울특별시,206762,116953,115335,1618,64662,25156.0,21106.0,1539.0,681.0,334.0,1505.0,235.0,117.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,영등포구,서울특별시,325036,195840,193643,2197,100899,46666.0,37945.0,3145.0,988.0,421.0,3008.0,416.0,155.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,동작구,서울특별시,340489,213232,210932,2300,114563,46094.0,41257.0,3564.0,863.0,382.0,3535.0,522.0,152.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,관악구,서울특별시,449742,265465,262094,3371,152069,47686.0,49248.0,4745.0,1490.0,606.0,5336.0,684.0,230.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,서초구,서울특별시,359734,226905,225012,1893,96452,69910.0,50486.0,3010.0,600.0,454.0,3535.0,459.0,106.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,강남구,서울특별시,454862,266153,263938,2215,107743,87305.0,58987.0,3723.0,721.0,586.0,4240.0,499.0,134.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,송파구,서울특별시,554983,348956,345819,3137,171592,90144.0,71367.0,4952.0,1207.0,686.0,4861.0,780.0,230.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,서울특별시,강동구,서울특별시,365176,218557,216282,2275,114075,54043.0,39912.0,3351.0,904.0,525.0,2795.0,508.0,169.0,0.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,중구,부산광역시,39832,22499,22103,396,11730,8993.0,657.0,423.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,서구,부산광역시,97123,55377,54353,1024,27919,22760.0,1670.0,1091.0,0.0,0.0,0.0,0.0,0.0,913.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,동구,부산광역시,79091,46288,45321,967,23476,18841.0,1480.0,833.0,0.0,0.0,0.0,0.0,0.0,691.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,영도구,부산광역시,107930,61332,60310,1022,34279,22179.0,1923.0,1050.0,0.0,0.0,0.0,0.0,0.0,879.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,부산진구,부산광역시,319402,184063,181311,2752,98314,67354.0,8409.0,3608.0,0.0,0.0,0.0,0.0,0.0,3626.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,동래구,부산광역시,226713,135595,133866,1729,72895,50115.0,6046.0,2847.0,0.0,0.0,0.0,0.0,0.0,1963.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,남구,부산광역시,234211,140451,138375,2076,75978,52232.0,5283.0,2980.0,0.0,0.0,0.0,0.0,0.0,1902.0,0.0,0.0
20180613,3,7회지방선거_시도지사,부산광역시,북구,부산광역시,253907,152125,150128,1997,85791,53265.0,5742.0,3296.0,0.0,0.0,0.0,0.0,0.0,2034.0,0.0,0.0
