sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_기본소득당,party_국가혁명당,party_노동당,party_새누리당,party_신자유민주연합,party_우리공화당,party_진보당,party_통일한국당,party_한류연합당
20220309,1,20대대통령선거,서울특별시,종로구,대한민국,129968,100629,99366,1263,46130,49172,3115,53,558,42.0,9,50,82,105,20,30
20220309,1,20대대통령선거,서울특별시,중구,대한민국,111448,84998,84184,814,38244,42906,2310,46,463,19.0,10,17,67,57,17,28
20220309,1,20대대통령선거,서울특별시,용산구,대한민국,199077,152068,150682,1386,60063,85047,4374,67,755,37.0,24,56,86,100,27,46
20220309,1,20대대통령선거,서울특별시,성동구,대한민국,252087,197240,195238,2002,84411,103880,5365,123,969,50.0,20,47,122,152,34,65
20220309,1,20대대통령선거,서울특별시,광진구,대한민국,303582,235471,232918,2553,109922,113733,7072,155,1416,52.0,36,62,180,172,38,80
20220309,1,20대대통령선거,서울특별시,동대문구,대한민국,300928,232106,229637,2469,108171,112890,6416,151,1304,44.0,32,55,184,232,80,78
20220309,1,20대대통령선거,서울특별시,중랑구,대한민국,347108,260862,258423,2439,130381,118201,6899,156,1961,59.0,30,73,236,292,60,75
20220309,1,20대대통령선거,서울특별시,성북구,대한민국,375880,292187,289359,2828,142702,135044,8952,169,1632,99.0,36,89,202,278,69,87
20220309,1,20대대통령선거,서울특별시,강북구,대한민국,268974,199448,197477,1971,103333,86540,5245,135,1518,69.0,29,52,173,249,61,73
20220309,1,20대대통령선거,서울특별시,도봉구,대한민국,281812,216036,214155,1881,106546,99780,5605,127,1457,53.0,46,48,136,239,41,77
20220309,1,20대대통령선거,서울특별시,노원구,대한민국,441879,349297,345873,3424,169275,163340,10021,207,1933,76.0,46,96,242,449,76,112
20220309,1,20대대통령선거,서울특별시,은평구,대한민국,417391,317971,315020,2951,161510,140666,9715,248,1934,117.0,49,71,252,293,76,89
20220309,1,20대대통령선거,서울특별시,서대문구,대한민국,269615,210460,208352,2108,100702,98924,6886,119,1070,57.0,30,38,153,263,47,63
20220309,1,20대대통령선거,서울특별시,마포구,대한민국,324091,256218,253554,2664,117916,124327,9308,180,1174,71.0,34,75,160,201,50,58
20220309,1,20대대통령선거,서울특별시,양천구,대한민국,378710,301379,298740,2639,138586,149780,7821,169,1646,75.0,39,81,213,181,55,94
20220309,1,20대대통령선거,서울특별시,강서구,대한민국,504185,390247,386376,3871,190000,181510,11100,242,2458,91.0,59,95,297,328,79,117
20220309,1,20대대통령선거,서울특별시,구로구,대한민국,348156,272920,270395,2525,133027,127129,7539,159,1713,59.0,33,75,193,325,54,89
20220309,1,20대대통령선거,서울특별시,금천구,대한민국,208786,157035,155534,1501,80208,69227,4278,106,1161,52.0,23,38,119,204,48,70
20220309,1,20대대통령선거,서울특별시,영등포구,대한민국,334361,263581,261079,2502,116443,134846,7627,134,1324,72.0,34,58,198,239,39,65
20220309,1,20대대통령선거,서울특별시,동작구,대한민국,342248,271510,268708,2802,122914,135733,7866,161,1380,56.0,35,85,140,221,51,66
20220309,1,20대대통령선거,서울특별시,관악구,대한민국,446161,340773,336394,4379,169284,151944,11245,309,2594,110.0,35,103,246,310,98,116
20220309,1,20대대통령선거,서울특별시,서초구,대한민국,344756,277878,275558,2320,88686,179472,5864,105,894,52.0,18,98,186,99,35,49
20220309,1,20대대통령선거,서울특별시,강남구,대한민국,451970,354778,352023,2755,106865,235897,7020,130,1383,47.0,39,109,258,134,46,95
20220309,1,20대대통령선거,서울특별시,송파구,대한민국,565840,453536,449510,4026,180490,255166,10652,196,2050,56.0,66,136,290,239,69,100
20220309,1,20대대통령선거,서울특별시,강동구,대한민국,397634,313203,310584,2619,139172,160593,8029,182,1793,56.0,32,84,242,253,63,85
20220309,1,20대대통령선거,부산광역시,중구,대한민국,38032,27408,27126,282,9929,16153,600,9,349,7.0,5,6,24,21,13,10
20220309,1,20대대통령선거,부산광역시,서구,대한민국,94117,69786,69112,674,25154,41470,1508,40,713,22.0,13,18,52,72,19,31
20220309,1,20대대통령선거,부산광역시,동구,대한민국,80399,59326,58750,576,21558,35081,1190,28,665,19.0,8,24,56,64,23,34
20220309,1,20대대통령선거,부산광역시,영도구,대한민국,100073,71696,71046,650,29565,39058,1368,41,712,26.0,18,13,55,125,29,36
20220309,1,20대대통령선거,부산광역시,부산진구,대한민국,313739,233474,231164,2310,89233,133285,5214,137,2423,59.0,30,52,216,350,68,97
20220309,1,20대대통령선거,부산광역시,동래구,대한민국,232079,179768,178174,1594,65261,106515,4035,73,1683,41.0,28,47,147,245,31,68
20220309,1,20대대통령선거,부산광역시,남구,대한민국,227098,173557,171956,1601,64361,101749,3652,64,1515,43.0,23,43,156,251,46,53
20220309,1,20대대통령선거,부산광역시,북구,대한민국,246904,189125,187357,1768,74650,105576,4262,90,2065,63.0,37,47,198,204,51,114
20220309,1,20대대통령선거,부산광역시,해운대구,대한민국,339847,259616,257567,2049,92631,156792,5068,118,2157,60.0,35,61,212,291,48,94
20220309,1,20대대통령선거,부산광역시,기장군,대한민국,144027,106148,105305,843,42955,58497,2253,54,1212,28.0,13,23,78,131,21,40
20220309,1,20대대통령선거,부산광역시,사하구,대한민국,268754,196600,194689,1911,78332,108983,4277,91,2304,49.0,34,45,156,254,62,102
20220309,1,20대대통령선거,부산광역시,금정구,대한민국,201647,155206,153664,1542,54772,93283,3500,97,1397,38.0,29,45,147,234,51,71
20220309,1,20대대통령선거,부산광역시,강서구,대한민국,112330,84488,83901,587,36016,44889,1834,30,944,8.0,15,14,42,72,16,21
20220309,1,20대대통령선거,부산광역시,연제구,대한민국,180732,139351,138164,1187,51471,81889,3087,72,1198,19.0,16,31,108,209,20,44
20220309,1,20대대통령선거,부산광역시,수영구,대한민국,156367,118017,116990,1027,41801,71160,2617,49,1017,22.0,21,28,104,104,27,40
20220309,1,20대대통령선거,부산광역시,사상구,대한민국,185365,136658,135213,1445,54207,75692,3076,78,1636,42.0,27,30,116,172,50,87
20220309,1,20대대통령선거,대구광역시,중구,대한민국,65964,51325,50818,507,10913,38288,981,42,392,21.0,9,17,99,22,8,26
20220309,1,20대대통령선거,대구광역시,동구,대한민국,297312,232992,230821,2171,52170,171004,4522,111,2122,40.0,37,69,433,152,78,83
20220309,1,20대대통령선거,대구광역시,서구,대한민국,149729,113904,112682,1222,19516,89620,1818,68,1172,28.0,20,22,236,79,57,46
20220309,1,20대대통령선거,대구광역시,남구,대한민국,129711,97962,96908,1054,19765,73865,1784,87,977,68.0,24,37,199,49,17,36
20220309,1,20대대통령선거,대구광역시,북구,대한민국,373173,294832,292132,2700,66469,215861,6090,155,2591,54.0,49,71,436,149,83,124
20220309,1,20대대통령선거,대구광역시,수성구,대한민국,349945,285537,283374,2163,59379,216031,5168,132,1848,37.0,33,89,385,127,57,88
20220309,1,20대대통령선거,대구광역시,달서구,대한민국,466792,368662,365208,3454,77951,275155,7361,180,3102,63.0,58,102,786,209,109,132
20220309,1,20대대통령선거,대구광역시,달성군,대한민국,214088,166298,164863,1435,38882,120064,3407,117,1737,33.0,31,44,250,151,63,84
20220309,1,20대대통령선거,인천광역시,중구,대한민국,121916,90125,89291,834,43942,41805,2296,42,944,18.0,12,22,88,73,15,34
20220309,1,20대대통령선거,인천광역시,동구,대한민국,53909,40918,40579,339,19195,19661,1196,32,346,11.0,4,6,44,48,17,19
20220309,1,20대대통령선거,인천광역시,미추홀구,대한민국,356862,253347,250994,2353,119287,121122,6951,154,2732,67.0,37,68,196,199,75,106
20220309,1,20대대통령선거,인천광역시,연수구,대한민국,317609,250104,248115,1989,111446,127768,6812,120,1456,62.0,22,40,133,136,48,72
20220309,1,20대대통령선거,인천광역시,남동구,대한민국,441525,329653,326707,2946,162476,150877,9232,215,2928,82.0,55,74,253,301,76,138
20220309,1,20대대통령선거,인천광역시,부평구,대한민국,424164,316024,313239,2785,159280,141072,8977,194,2718,91.0,44,77,263,298,94,131
20220309,1,20대대통령선거,인천광역시,계양구,대한민국,258741,193864,192157,1707,100532,83638,5502,124,1722,62.0,24,64,132,218,58,81
