sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_기본소득당,party_녹색당,party_독도당,party_진보당,party_통일한국당,party_한류연합당
20220601,8,8회지방선거_광역의원비례,서울특별시,종로구,서울특별시,129816,70639,70053,586,28921,36605,3450,170,610.0,35.0,178.0,39.0,45.0
20220601,8,8회지방선거_광역의원비례,서울특별시,중구,서울특별시,112039,60315,59710,605,25028,31924,2261,100,167.0,37.0,135.0,39.0,19.0
20220601,8,8회지방선거_광역의원비례,서울특별시,용산구,서울특별시,199061,104770,103915,855,36114,61630,4635,238,928.0,62.0,195.0,69.0,44.0
20220601,8,8회지방선거_광역의원비례,서울특별시,성동구,서울특별시,251990,139755,138372,1383,56117,75209,5903,274,327.0,107.0,304.0,73.0,58.0
20220601,8,8회지방선거_광역의원비례,서울특별시,광진구,서울특별시,305462,156989,155523,1466,66403,81566,6248,376,386.0,108.0,295.0,88.0,53.0
20220601,8,8회지방선거_광역의원비례,서울특별시,동대문구,서울특별시,302024,156947,155048,1899,65611,81574,6125,323,313.0,119.0,787.0,102.0,94.0
20220601,8,8회지방선거_광역의원비례,서울특별시,중랑구,서울특별시,348762,177680,176077,1603,81241,87489,5689,272,692.0,137.0,382.0,91.0,84.0
20220601,8,8회지방선거_광역의원비례,서울특별시,성북구,서울특별시,379123,202197,199577,2620,89109,99638,8741,417,568.0,155.0,741.0,123.0,85.0
20220601,8,8회지방선거_광역의원비례,서울특별시,강북구,서울특별시,268130,133368,132002,1366,61886,64376,4405,292,274.0,113.0,468.0,115.0,73.0
20220601,8,8회지방선거_광역의원비례,서울특별시,도봉구,서울특별시,280913,148546,147202,1344,65079,76007,4895,296,272.0,105.0,407.0,76.0,65.0
20220601,8,8회지방선거_광역의원비례,서울특별시,노원구,서울특별시,441748,245086,242734,2352,105274,121290,13130,472,465.0,159.0,1679.0,145.0,120.0
20220601,8,8회지방선거_광역의원비례,서울특별시,은평구,서울특별시,418387,215937,214005,1932,98827,103436,8931,533,1375.0,152.0,529.0,125.0,97.0
20220601,8,8회지방선거_광역의원비례,서울특별시,서대문구,서울특별시,271718,146945,145638,1307,63144,73613,6652,364,969.0,88.0,640.0,105.0,63.0
20220601,8,8회지방선거_광역의원비례,서울특별시,마포구,서울특별시,324528,174994,173671,1323,72249,88515,10201,443,1600.0,94.0,427.0,88.0,54.0
20220601,8,8회지방선거_광역의원비례,서울특별시,양천구,서울특별시,378444,209676,208286,1390,86707,112853,7250,379,371.0,146.0,399.0,97.0,84.0
20220601,8,8회지방선거_광역의원비례,서울특별시,강서구,서울특별시,504606,260902,258316,2586,114067,130979,10765,536,557.0,192.0,972.0,143.0,105.0
20220601,8,8회지방선거_광역의원비례,서울특별시,구로구,서울특별시,353697,188070,186401,1669,81272,95028,7791,409,328.0,149.0,1218.0,123.0,83.0
20220601,8,8회지방선거_광역의원비례,서울특별시,금천구,서울특별시,212879,105819,104553,1266,48986,50846,3738,266,218.0,94.0,294.0,71.0,40.0
20220601,8,8회지방선거_광역의원비례,서울특별시,영등포구,서울특별시,340017,181080,179533,1547,72110,97937,7823,391,451.0,131.0,487.0,121.0,82.0
20220601,8,8회지방선거_광역의원비례,서울특별시,동작구,서울특별시,344280,187352,185880,1472,77202,98608,8390,439,468.0,143.0,444.0,99.0,87.0
20220601,8,8회지방선거_광역의원비례,서울특별시,관악구,서울특별시,450180,226760,224628,2132,104328,106468,11128,564,1199.0,173.0,559.0,114.0,95.0
20220601,8,8회지방선거_광역의원비례,서울특별시,서초구,서울특별시,342589,191827,190754,1073,53095,131110,5329,285,453.0,97.0,281.0,65.0,39.0
20220601,8,8회지방선거_광역의원비례,서울특별시,강남구,서울특별시,450895,241459,240254,1205,61839,171063,5821,305,751.0,91.0,239.0,79.0,66.0
20220601,8,8회지방선거_광역의원비례,서울특별시,송파구,서울특별시,569507,313235,311228,2007,111022,188134,9907,461,578.0,157.0,744.0,130.0,95.0
20220601,8,8회지방선거_광역의원비례,서울특별시,강동구,서울특별시,397544,214049,212309,1740,84005,118503,8191,422,386.0,130.0,454.0,120.0,98.0
