sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_개혁신당,party_민주노동당,party_무소속
20250603,1,21대대통령선거,서울특별시,종로구,대한민국,125901,99261,98478,783,47735,39574,9326,1754,89
20250603,1,21대대통령선거,서울특별시,중구,대한민국,110181,87166,86416,750,40482,36302,8450,1120,62
20250603,1,21대대통령선거,서울특별시,용산구,대한민국,183614,143813,142694,1119,58705,67927,13794,2166,102
20250603,1,21대대통령선거,서울특별시,성동구,대한민국,244536,196282,194775,1507,88028,84043,20217,2300,187
20250603,1,21대대통령선거,서울특별시,광진구,대한민국,301007,239807,237662,2145,114304,94752,25469,2912,225
20250603,1,21대대통령선거,서울특별시,동대문구,대한민국,307846,246264,244239,2025,117631,97549,25928,2886,245
20250603,1,21대대통령선거,서울특별시,중랑구,대한민국,342360,267642,265550,2092,137420,102137,22923,2780,290
20250603,1,21대대통령선거,서울특별시,성북구,대한민국,374002,300299,297996,2303,152624,111271,29394,4461,246
20250603,1,21대대통령선거,서울특별시,강북구,대한민국,257971,198136,196573,1563,105780,72792,15575,2240,186
20250603,1,21대대통령선거,서울특별시,도봉구,대한민국,272942,216499,214906,1593,110614,84148,17568,2387,189
20250603,1,21대대통령선거,서울특별시,노원구,대한민국,430719,350440,347826,2614,176604,131061,35615,4201,345
20250603,1,21대대통령선거,서울특별시,은평구,대한민국,411789,326136,323455,2681,171417,118639,28163,4925,311
20250603,1,21대대통령선거,서울특별시,서대문구,대한민국,269110,216261,214510,1751,107451,81882,21264,3735,178
20250603,1,21대대통령선거,서울특별시,마포구,대한민국,321302,260533,258285,2248,125049,101016,26948,5053,219
20250603,1,21대대통령선거,서울특별시,양천구,대한민국,368029,299637,297604,2033,143686,122867,27234,3526,291
20250603,1,21대대통령선거,서울특별시,강서구,대한민국,493010,392879,389624,3255,196256,149837,38416,4704,411
20250603,1,21대대통령선거,서울특별시,구로구,대한민국,344220,278196,276066,2130,139034,108039,25433,3282,278
20250603,1,21대대통령선거,서울특별시,금천구,대한민국,206121,161132,159717,1415,83102,58686,15979,1775,175
20250603,1,21대대통령선거,서울특별시,영등포구,대한민국,335136,271596,269203,2393,123593,111861,29911,3607,231
20250603,1,21대대통령선거,서울특별시,동작구,대한민국,337985,275295,272906,2389,128028,111735,29432,3470,241
20250603,1,21대대통령선거,서울특별시,관악구,대한민국,446923,350839,347149,3690,171149,126951,43385,5231,433
20250603,1,21대대통령선거,서울특별시,서초구,대한민국,345855,280913,279119,1794,94722,153536,27500,3195,166
20250603,1,21대대통령선거,서울특별시,강남구,대한민국,472730,373762,371406,2356,119722,210177,37564,3738,205
20250603,1,21대대통령선거,서울특별시,송파구,대한민국,561654,458526,455145,3381,191678,212094,46194,4790,389
20250603,1,21대대통령선거,서울특별시,강동구,대한민국,428942,350292,347804,2488,160645,149529,33664,3662,304
20250603,1,21대대통령선거,부산광역시,중구,대한민국,35284,26223,26022,201,9784,14167,1861,184,26
20250603,1,21대대통령선거,부산광역시,서구,대한민국,92886,71591,71032,559,26800,38496,5081,583,72
20250603,1,21대대통령선거,부산광역시,동구,대한민국,77893,59632,59175,457,22744,31875,4061,429,66
20250603,1,21대대통령선거,부산광역시,영도구,대한민국,93909,70342,69863,479,29962,35217,4133,482,69
20250603,1,21대대통령선거,부산광역시,부산진구,대한민국,325663,252934,250993,1941,101093,126802,20697,2156,245
20250603,1,21대대통령선거,부산광역시,동래구,대한민국,235338,189601,188347,1254,74245,97629,14656,1663,154
20250603,1,21대대통령선거,부산광역시,남구,대한민국,222856,176630,175464,1166,69214,91037,13662,1414,137
20250603,1,21대대통령선거,부산광역시,북구,대한민국,234995,187682,186390,1292,77258,93564,13884,1501,183
20250603,1,21대대통령선거,부산광역시,해운대구,대한민국,325211,255777,254181,1596,97486,135755,18806,1898,236
20250603,1,21대대통령선거,부산광역시,기장군,대한민국,145228,112103,111370,733,48742,53493,8181,847,107
20250603,1,21대대통령선거,부산광역시,사하구,대한민국,258595,199077,197699,1378,82504,99642,13814,1538,201
20250603,1,21대대통령선거,부산광역시,금정구,대한민국,188148,149515,148529,986,55470,79737,11899,1306,117
20250603,1,21대대통령선거,부산광역시,강서구,대한민국,112618,89257,88695,562,40580,40065,7254,710,86
20250603,1,21대대통령선거,부산광역시,연제구,대한민국,184908,148025,146999,1026,58466,75594,11530,1272,137
20250603,1,21대대통령선거,부산광역시,수영구,대한민국,153669,119331,118427,904,44558,63669,9057,1049,94
20250603,1,21대대통령선거,부산광역시,사상구,대한민국,178351,138035,137026,1009,56307,69496,9897,1157,169
20250603,1,21대대통령선거,대구광역시,중구,대한민국,85181,68687,68206,481,16317,44323,6934,580,52
20250603,1,21대대통령선거,대구광역시,동구,대한민국,300119,240878,239223,1655,57694,160000,19509,1812,208
20250603,1,21대대통령선거,대구광역시,서구,대한민국,147381,114567,113771,796,21840,83588,7554,674,115
20250603,1,21대대통령선거,대구광역시,남구,대한민국,125079,96240,95535,705,20940,66687,7096,730,82
20250603,1,21대대통령선거,대구광역시,북구,대한민국,358624,287673,285674,1999,68670,189776,24603,2359,266
20250603,1,21대대통령선거,대구광역시,수성구,대한민국,346438,284576,283018,1558,65324,189622,25604,2265,203
20250603,1,21대대통령선거,대구광역시,달서구,대한민국,452664,364667,362364,2303,83001,246446,29887,2750,280
20250603,1,21대대통령선거,대구광역시,달성군,대한민국,212190,168018,166897,1121,42728,109225,13515,1287,142
20250603,1,21대대통령선거,대구광역시,군위군,대한민국,21402,17745,17624,121,2616,14246,674,74,14
20250603,1,21대대통령선거,인천광역시,중구,대한민국,146414,110897,110090,807,57340,40941,10655,1047,107
20250603,1,21대대통령선거,인천광역시,동구,대한민국,51663,40799,40495,304,20014,17018,2891,509,63
20250603,1,21대대통령선거,인천광역시,미추홀구,대한민국,366830,273289,271215,2074,136342,108442,23356,2761,314
20250603,1,21대대통령선거,인천광역시,연수구,대한민국,332596,268737,267049,1688,128989,108641,26485,2721,213
20250603,1,21대대통령선거,인천광역시,남동구,대한민국,421631,326991,324669,2322,168404,125604,26957,3350,354
20250603,1,21대대통령선거,인천광역시,부평구,대한민국,435944,339541,337007,2534,178154,125578,29201,3707,367
20250603,1,21대대통령선거,인천광역시,계양구,대한민국,248733,194728,193286,1442,106747,69027,15369,1952,191
20250603,1,21대대통령선거,인천광역시,서구,대한민국,533584,417136,414273,2863,223841,147562,38226,4225,419
20250603,1,21대대통령선거,인천광역시,강화군,대한민국,63399,48634,48329,305,19095,26323,2497,367,47
20250603,1,21대대통령선거,인천광역시,옹진군,대한민국,18554,14603,14414,189,5369,7816,1102,104,23
20250603,1,21대대통령선거,광주광역시,동구,대한민국,92286,77545,77084,461,63684,7402,5212,722,64
20250603,1,21대대통령선거,광주광역시,서구,대한민국,240133,200340,199230,1110,168407,16782,12238,1627,176
20250603,1,21대대통령선거,광주광역시,남구,대한민국,176412,149219,148451,768,126148,12337,8635,1204,127
20250603,1,21대대통령선거,광주광역시,북구,대한민국,362472,304117,302422,1695,257145,23544,18674,2770,289
20250603,1,21대대통령선거,광주광역시,광산구,대한민국,323168,270928,269237,1691,229298,19872,17345,2444,278
20250603,1,21대대통령선거,대전광역시,동구,대한민국,194244,148238,147013,1225,70915,62048,12499,1322,229
20250603,1,21대대통령선거,대전광역시,중구,대한민국,196407,152894,151648,1246,71677,65844,12510,1428,189
20250603,1,21대대통령선거,대전광역시,서구,대한민국,396043,310477,307893,2584,148720,124865,30731,3264,313
20250603,1,21대대통령선거,대전광역시,유성구,대한민국,307342,251223,249219,2004,123402,93434,29350,2806,227
20250603,1,21대대통령선거,대전광역시,대덕구,대한민국,147846,114777,113835,942,55607,47358,9634,1085,151
20250603,1,21대대통령선거,울산광역시,중구,대한민국,178000,143233,142247,986,56743,72445,11302,1584,173
20250603,1,21대대통령선거,울산광역시,남구,대한민국,263759,211142,209584,1558,81512,106707,18960,2185,220
20250603,1,21대대통령선거,울산광역시,동구,대한민국,126811,100387,99583,804,47822,41934,8034,1670,123
20250603,1,21대대통령선거,울산광역시,북구,대한민국,176478,143084,141997,1087,69055,57703,12795,2266,178
20250603,1,21대대통령선거,울산광역시,울주군,대한민국,189461,150104,148964,1140,60688,74391,12086,1594,205
20250603,1,21대대통령선거,세종특별자치시,세종특별자치시,대한민국,307067,254695,252785,1910,140620,83965,25004,2961,235
20250603,1,21대대통령선거,경기도,수원시장안구,대한민국,238889,193748,192328,1420,98188,72781,19284,1877,198
20250603,1,21대대통령선거,경기도,수원시권선구,대한민국,313951,246530,244683,1847,127809,91049,23247,2357,221
20250603,1,21대대통령선거,경기도,수원시팔달구,대한민국,172558,133880,132846,1034,64971,52733,13752,1241,149
20250603,1,21대대통령선거,경기도,수원시영통구,대한민국,301242,250748,248889,1859,122204,92635,31281,2553,216
20250603,1,21대대통령선거,경기도,성남시수정구,대한민국,208154,166071,164931,1140,89700,59467,14371,1277,116
20250603,1,21대대통령선거,경기도,성남시중원구,대한민국,184068,146706,145677,1029,83821,49360,11240,1118,138
20250603,1,21대대통령선거,경기도,성남시분당구,대한민국,397014,332152,330073,2079,146248,147997,32522,3090,216
20250603,1,21대대통령선거,경기도,의정부시,대한민국,402095,310907,308729,2178,167551,113085,24918,2881,294
20250603,1,21대대통령선거,경기도,안양시만안구,대한민국,208500,168381,167151,1230,86561,64294,14671,1491,134
20250603,1,21대대통령선거,경기도,안양시동안구,대한민국,279415,235876,234235,1641,118064,90041,23637,2304,189
20250603,1,21대대통령선거,경기도,부천시원미구,대한민국,341688,273444,271462,1982,145748,99296,23394,2784,240
20250603,1,21대대통령선거,경기도,부천시소사구,대한민국,197016,159574,158470,1104,86560,58163,11989,1619,139
20250603,1,21대대통령선거,경기도,부천시오정구,대한민국,136399,104812,104157,655,59047,36313,7710,955,132
20250603,1,21대대통령선거,경기도,광명시,대한민국,244138,203585,202266,1319,107527,74375,18088,2116,160
20250603,1,21대대통령선거,경기도,평택시,대한민국,506849,381944,379276,2668,193007,147716,34980,3186,387
20250603,1,21대대통령선거,경기도,양주시,대한민국,245241,188275,186964,1311,101884,68936,14502,1443,199
20250603,1,21대대통령선거,경기도,동두천시,대한민국,76927,56479,56097,382,28433,23681,3515,397,71
20250603,1,21대대통령선거,경기도,안산시상록구,대한민국,287897,219638,218033,1605,120273,76645,18829,2022,264
20250603,1,21대대통령선거,경기도,안산시단원구,대한민국,255796,197056,195617,1439,107188,68865,17464,1837,263
20250603,1,21대대통령선거,경기도,고양시덕양구,대한민국,424683,341499,339193,2306,183659,122394,28962,3898,280
20250603,1,21대대통령선거,경기도,고양시일산동구,대한민국,255448,201343,199942,1401,103306,77368,17098,2020,150
20250603,1,21대대통령선거,경기도,고양시일산서구,대한민국,243541,196109,194873,1236,101911,74746,16030,2030,156
20250603,1,21대대통령선거,경기도,과천시,대한민국,68790,58928,58532,396,24871,26993,5843,779,46
20250603,1,21대대통령선거,경기도,의왕시,대한민국,133116,111014,110320,694,55305,43930,9920,1061,104
20250603,1,21대대통령선거,경기도,구리시,대한민국,162776,130757,129876,881,66685,50865,11064,1166,96
20250603,1,21대대통령선거,경기도,남양주시,대한민국,617951,484777,481803,2974,261539,179144,36668,4038,414
20250603,1,21대대통령선거,경기도,오산시,대한민국,205448,155805,154682,1123,84959,53092,15019,1444,168
20250603,1,21대대통령선거,경기도,화성시갑,대한민국,443085,343800,341505,2295,183357,122959,31998,2856,335
20250603,1,21대대통령선거,경기도,화성시을,대한민국,347519,289895,288073,1822,151555,93407,40321,2606,184
