year,sido,adm_cd,sigungu,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female
2022,서울특별시,11010,종로구,147512,70318,77194,7123,11181,28268,20200,20040,23874,19866,10994,6011,817,10650,110329,26533,0.19163186723791964,0.13693801182276696,0.13585335430337872,0.1618444601117197,0.13467378925104398,0.12081728944085905,0.17987011226205327,0.7479323716036661,0.5233065784478551
2022,서울특별시,11020,중구,125257,59795,65462,6793,6709,20791,21260,17137,19653,17991,9953,4908,694,8986,92579,23692,0.16598673128048733,0.1697310329961599,0.13681470895838158,0.15690141069960162,0.14363269118691968,0.12418467630551586,0.18914711353457292,0.7391123849365704,0.5226214902161157
2022,서울특별시,11030,용산구,219282,105469,113813,14715,13455,32658,39446,32765,34817,28488,15072,8139,1116,19807,162608,36867,0.14893151284647166,0.1798870860353335,0.1494194689942631,0.15877728222106693,0.12991490409609543,0.11093933838618765,0.1681259747722111,0.7415474138324167,0.5190257294260359
2022,서울특별시,11040,성동구,282131,136734,145397,19789,18086,46160,45740,41237,44477,38004,19913,9414,1086,26146,209140,46845,0.1636119391346573,0.16212326897788615,0.14616259822564695,0.15764662514931008,0.13470338247126334,0.10779744161400201,0.16603988927129595,0.7412868490169461,0.515352797104891
2022,서울특별시,11050,광진구,346519,165843,180676,18659,24446,66920,55951,49099,54297,45351,22711,10006,1231,27546,265456,53517,0.193120723538969,0.16146589364508152,0.1416920861482343,0.15669270660483264,0.1308759404246232,0.09796865395548296,0.15444174778294986,0.7660647756688667,0.5214028667980688
2022,서울특별시,11060,동대문구,350709,169670,181039,20726,23756,70468,50138,47956,51054,47176,27396,12787,1352,28934,258825,62950,0.20093011585103318,0.14296182875261257,0.13674014638917165,0.14557368074386456,0.1345160802830837,0.11843152014918351,0.17949354022850852,0.7380050127028391,0.5162085945898166
2022,서울특별시,11070,중랑구,379127,185196,193931,22788,23908,51854,57667,53496,64333,60756,31788,13413,1520,31886,273865,73376,0.13677211066476405,0.15210470370087067,0.14110311320481,0.16968720244139826,0.16025236925884995,0.12323311185961433,0.19353936807455022,0.7223568883250204,0.5115198864760357
2022,서울특별시,11080,성북구,436113,207284,228829,29154,37594,75521,58164,64644,67806,56113,32555,15984,1906,42146,318438,75529,0.17316842194568838,0.13336910387904052,0.14822763824971968,0.15547805270652332,0.12866619431202464,0.11566956270507874,0.1731867658152818,0.730173143199125,0.5247011668994045
2022,서울특별시,11090,강북구,287788,138515,149273,14484,19194,40055,35696,40896,49177,46274,28997,13380,1379,21655,201430,64703,0.13918231475947573,0.1240357485371176,0.14210460477851752,0.1708792583429469,0.16079197186818076,0.15204247571128748,0.22482869334371133,0.6999249447509973,0.5186908418697096
2022,서울특별시,11100,도봉구,304137,146600,157537,17448,22459,38668,37323,43106,53293,51021,27824,13388,1708,25883,212439,65815,0.12714007174398378,0.12271772260527328,0.14173217990576614,0.17522695364260185,0.167756635989702,0.14112061340777346,0.216399188523593,0.6984977164896083,0.5179803838401773
2022,서울특별시,11110,노원구,496423,238120,258303,32215,48168,69746,60586,76763,84127,70550,37836,18047,2428,49920,356706,89797,0.14049711637051465,0.12204511072210594,0.1546322390380784,0.16946636235629695,0.1421167028924929,0.11746232547645859,0.18088807327621806,0.7185525247621484,0.5203284295852529
2022,서울특별시,11120,은평구,454649,216315,238334,28930,34973,60296,64719,69761,74531,66291,38293,18221,1969,42114,324489,88046,0.13262098893871976,0.14234937281287321,0.15343924653963828,0.16393085655087772,0.14580698516877855,0.1286332973348671,0.19365708491605613,0.7137132161293658,0.5242153837355851
2022,서울특별시,11130,서대문구,318308,146857,171451,20376,23840,62869,45056,44154,47691,39801,22998,12243,1407,28463,235716,54129,0.1975099589077246,0.1415484373625545,0.13871470399738617,0.14982658305791874,0.12503927014086985,0.11513376980785905,0.17005227641152595,0.7405280420221924,0.538632393782123
2022,서울특별시,11140,마포구,362415,168773,193642,24117,26354,64667,62853,56727,53511,40589,22995,11692,1452,34115,274443,53857,0.17843356373218547,0.17342825214188154,0.15652497827076695,0.14765117337858533,0.11199591628381828,0.09971717506173862,0.14860587999944816,0.7572617027440918,0.534310114095719
2022,서울특별시,11150,양천구,426981,208521,218460,30874,46063,51280,52596,72232,73864,60733,30335,11757,1605,49611,306740,70630,0.12009902079952035,0.12318112515545188,0.1691691199374211,0.17299130406271004,0.1422381792164054,0.10233944835952888,0.1654171965497294,0.7183926216857425,0.51163869118298
